"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 27 19:44:12 BRT 2021","Thu May 27 19:44:16 BRT 2021","4695","","Autenticação","","","","Efetuar login com usuário e senha válidos",""
"passed","Thu May 27 19:44:03 BRT 2021","Thu May 27 19:44:10 BRT 2021","6921","","Autenticação","","","","Criar um novo artigo",""
